S.No.,Rule,Support,Lift,Confidence
93,PREPARED  , CONDIMENTS,0.011,4.4,0.25
94,CONDIMENTS  , PRODUCE,0.056,3.142,1
95,MEATS  , BEER,0.011,8.8,0.2
96,WRAPS  , CHEESE,0.011,6.285,0.5
97,TOPICAL APPLICATIONS  , PET SUPPLIES,0.011,12.571,1
98,DAIRY PRODUCTS  , SAUCES,0.011,1.692,0.04
99,LAUNDRY DETERGENTS & SUPPLIES  , CEREAL,0.011,1.1,0.13
100,PRODUCE  , CEREAL,0.09,2.514,0.29
101,FINE WINE  , CEREAL,0.034,8.8,1
102,FOAM/PLASTIC/CATERING  , MEATS,0.011,4.4,0.25
103,BEVERAGES  , FRUIT SNACKS,0.034,8.8,0.3
104,SPREADS/SYRUP/HONEY  , MEATS,0.011,5.5,0.25
105,LAUNDRY DETERGENTS & SUPPLIES  , BASICS,0.011,11,0.13
106,CHEESE  , PREPARED FOODS,0.022,6.285,0.29
107,WRAPS  , PREPARED FOODS,0.011,11,0.5
108,CONDIMENTS  , FRUIT & VEGETABLES,0.022,3.911,0.4
109,BAKERY  , VITAMIN/SUPPLEMENTS,0.011,2.75,0.13
110,BEER  , ANTI-PERS/DEODORANT,0.011,44,0.5
111,BAKERY  , ANTI-PERS/DEODORANT,0.011,11,0.13
112,BAKERY  , BARS,0.011,3.666,0.13
113,PREPARED FOODS  , ANTACID/LAXATIVE/DIETARY AID,0.022,11,0.5
114,PAPER PRODUCTS  , PREPARED,0.022,5.5,0.25
115,CHEMICALS  , PERSONAL WASH,0.011,11,0.25
116,MEATS  , BEVERAGES,0.011,1.294,0.25
117,BASICS  , FRUIT & VEGETABLES,0.011,9.777,1
118,MINTS/GUM  , MINTS/GUM,0.011,88,1
119,VEND ITEMS  , DAIRY PRODUCTS,0.022,3.384,1
120,BAKERY  , CHEMICALS,0.022,5.5,0.25
121,RICE/BEANS/PASTA  , VEND ITEMS,0.022,17.6,0.4
122,RICE/BEANS/PASTA  , BULK GOOD CANDY,0.011,5.866,0.2
123,BEER  , PERSONAL WASH,0.011,22,0.5
124,PASTA & SAUCES  , CANNED FISH AND MEAT,0.011,14.666,0.5
125,ANTACID/LAXATIVE/DIETARY AID  , SALTY SNACKS,0.011,3.666,0.25
126,SAUCES  , BBS,0.011,2.75,0.5
127,BAKERY  , SPREADS/SYRUP/HONEY,0.011,2.75,0.13
128,SAUCES  , CHEESE,0.011,6.285,0.5
129,PREPARED FOODS  , PREPARED,0.011,5.5,0.25
130,DRINK MIXES  , CHEESE,0.022,6.285,0.5
131,JUICES  , PREPARED,0.011,11,0.5
132,CONDIMENTS  , BBS,0.045,4.4,0.8
133,SOUPS  , PRODUCE,0.011,3.142,1
134,HAIR CARE  , PREPARED,0.011,5.5,0.25
135,BAKING NUTS  , DIET / NUTRITION,0.011,14.666,0.17
136,CHEMICALS  , BARS,0.011,7.333,0.25
137,CHEMICALS  , PET SUPPLIES,0.011,3.142,0.25
138,PRODUCE  , KITCHEN MISC.,0.011,1.571,0.04
139,BEVERAGES  , BULK GOOD CANDY,0.022,5.866,0.2
140,MEATS  , FRUIT SNACKS,0.011,5.866,0.2
141,DIET / NUTRITION  , PRODUCE,0.011,3.142,1
142,PAPER PRODUCTS  , DIAPERS,0.011,5.5,0.13
143,SPICES  , RICE/BEANS/PASTA,0.011,8.8,0.5
144,CHEMICALS  , PREPARED FOODS,0.011,5.5,0.25
145,DAIRY PRODUCTS  , MEATS,0.022,1.692,0.08
146,DISH DETERGENTS & SUPPLIES  , FRUIT SNACKS,0.011,7.333,0.25
147,FRUIT & VEGETABLES  , ALL SEASONAL SUNDRIES ITEMS,0.011,9.777,0.11
148,SALTY SNACKS  , CHEMICALS,0.011,3.666,0.17
149,CEREAL  , ORAL CARE,0.011,2.2,0.1
150,OIL  , PREPARED FOODS,0.011,7.333,0.33
151,FRUITS & VEGETABLES  , PREPARED FOODS,0.022,8.8,0.4
152,BULK GOOD CANDY  , BEVERAGES,0.022,5.866,0.67
153,DESSERTS  , DISH DETERGENTS & SUPPLIES,0.011,22,1
154,BARS  , FRUIT & VEGETABLES,0.022,6.518,0.67
155,FOAM/PLASTIC/CATERING  , DESSERTS,0.011,22,0.25
156,WIPES  , SPICES,0.011,14.666,0.33
157,BULK GOOD CANDY  , SALES,0.011,3.259,0.33
158,FLOOR WINES  , CEREAL,0.022,5.866,0.67
159,BATTERIES  , FOAM/PLASTIC/CATERING,0.011,22,1
160,SPICES  , BBS,0.011,2.75,0.5
161,COFFEE/SWEETENERS  , PRODUCE,0.011,3.142,1
162,FIRST AID  , BEVERAGES,0.011,8.8,1
163,SALTY SNACKS  , FIRST AID,0.011,14.666,0.17
164,SALES  , BASICS,0.011,9.777,0.11
165,PREPARED FOODS  , HAIR CARE,0.011,5.5,0.25
166,ANTACID/LAXATIVE/DIETARY AID  , VEND ITEMS,0.022,22,0.5
167,MEAT  , TOPICAL APPLICATIONS,0.011,29.333,0.33
168,DISH DETERGENTS & SUPPLIES  , BEER,0.011,11,0.25
169,CEREAL  , CONDIMENTS,0.034,5.279,0.3
170,LAUNDRY DETERGENTS & SUPPLIES  , ORAL CARE,0.011,2.75,0.13
171,BATTERIES  , HANGING APPAREL,0.011,44,1
172,PREPARED  , HAIR CARE,0.011,5.5,0.25
173,MEATS  , MEAT - PROTEIN,0.011,4.4,0.2
